Presion,Temperatura,Folder
3,392,1-ne
5,452,1-ne
5,572,1-ne
5,632,1-ne
5,656,1-ne
5,716,1-ne
5,752,1-ne
5,764,1-ne
5,800,1-ne
9,212,1-ne
9,608,1-ne
9,668,1-ne
9,800,1-ne
17,308,1-ne
19,704,1-ne
3,248,1-ne
3,344,1-ne
3,416,1-ne
3,452,1-ne
3,656,1-ne
3,692,1-ne
3,704,1-ne
3,752,1-ne
5,224,1-ne
5,236,1-ne
5,644,1-ne
5,776,1-ne
7,212,1-ne
7,284,1-ne
7,296,1-ne
7,308,1-ne
7,476,1-ne
7,488,1-ne
7,572,1-ne
7,644,1-ne
7,656,1-ne
7,692,1-ne
7,728,1-ne
7,764,1-ne
9,452,1-ne
9,524,1-ne
9,572,1-ne
9,596,1-ne
9,656,1-ne
9,716,1-ne
9,776,1-ne
13,284,1-ne
13,296,1-ne
13,452,1-ne
13,608,1-ne
13,632,1-ne
13,668,1-ne
13,704,1-ne
13,776,1-ne
15,428,1-ne
15,488,1-ne
15,764,1-ne
17,704,1-ne
17,728,1-ne
17,752,1-ne
19,284,1-ne
19,344,1-ne
19,752,1-ne
23,272,1-ne
23,512,1-ne
23,524,1-ne
25,356,1-ne
25,416,1-ne
25,596,1-ne
25,632,1-ne
25,656,1-ne
25,728,1-ne
25,800,1-ne
27,632,1-ne
27,716,1-ne
33,308,1-ne
33,632,1-ne
35,524,1-ne
35,644,1-ne
35,752,1-ne
35,764,1-ne
35,800,1-ne
37,728,1-ne
39,284,1-ne
39,512,1-ne
39,572,1-ne
39,752,1-ne
43,596,1-ne
47,608,1-ne
47,764,1-ne
49,488,1-ne
49,800,1-ne
55,644,1-ne
3,212,1-ne
3,248,1-ne
3,284,1-ne
3,308,1-ne
3,488,1-ne
3,536,1-ne
3,548,1-ne
3,584,1-ne
3,596,1-ne
3,704,1-ne
3,776,1-ne
5,716,1-ne
5,764,1-ne
7,776,1-ne
9,656,1-ne
13,692,1-ne
3,272,1-ne
3,644,1-ne
3,656,1-ne
5,236,1-ne
5,344,1-ne
5,416,1-ne
5,656,1-ne
7,296,1-ne
7,356,1-ne
7,476,1-ne
7,644,1-ne
7,668,1-ne
7,728,1-ne
9,428,1-ne
9,452,1-ne
9,716,1-ne
13,308,1-ne
19,536,1-ne
19,776,1-ne
27,404,1-ne
3,392,1-ne
